16:14:13,Enter AT commands:,-,-,-
11:44:20,AWAKE,(0.000000,30.5,84.8
11:44:21,AWAKE,(0.000000,30.5,84.8
11:44:22,AWAKE,(0.000000,30.4,84.9
11:44:23,AWAKE,(0.000000,30.4,84.9
11:44:24,AWAKE,(0.000000,30.4,84.9
11:44:25,AWAKE,(0.000000,30.5,85.3
11:44:26,AWAKE,(0.000000,30.5,85.3
11:44:27,AWAKE,(0.000000,30.5,85.3
11:44:28,AWAKE,(0.000000,30.5,85.3
11:44:29,AWAKE,(0.000000,30.5,85.3
11:44:30,AWAKE,(0.000000,30.5,85.3
11:44:31,AWAKE,(0.000000,30.5,85.3
11:44:32,AWAKE,(0.000000,30.6,85.2
11:44:33,AWAKE,(0.000000,30.6,85.2
11:44:34,AWAKE,(0.000000,30.6,85.2
11:44:35,AWAKE,(0.000000,30.5,85.1
11:44:36,AWAKE,(0.000000,30.5,85.1
11:44:37,AWAKE,(0.000000,30.5,85.1
11:44:38,AWAKE,(0.000000,30.5,85.2
11:44:39,AWAKE,(0.000000,30.5,85.2
11:44:40,AWAKE,(0.000000,30.5,85.2
11:44:41,AWAKE,(0.000000,30.5,85.1
11:44:42,AWAKE,(0.000000,30.5,85.1
11:44:43,AWAKE,(0.000000,30.5,85.1
11:44:44,AWAKE,(0.000000,30.5,85.1
11:44:45,AWAKE,(0.000000,30.5,85.0
11:44:46,AWAKE,(0.000000,30.5,85.0
11:44:47,AWAKE,(0.000000,30.5,85.0
11:44:48,AWAKE,(0.000000,30.5,85.0
11:44:49,AWAKE,(0.000000,30.5,85.0
11:44:50,AWAKE,(0.000000,30.5,85.0
11:44:51,AWAKE,(0.000000,30.6,85.0
11:44:52,AWAKE,(0.000000,30.6,85.0
11:44:53,AWAKE,(0.000000,30.6,85.0
11:44:54,AWAKE,(0.000000,30.6,84.9
11:44:55,AWAKE,(0.000000,30.6,84.9
11:44:56,AWAKE,(0.000000,30.6,84.9
11:44:57,AWAKE,(0.000000,30.6,84.9
11:44:58,AWAKE,(0.000000,30.6,84.9
11:44:59,AWAKE,(0.000000,30.6,84.9
11:45:00,AWAKE,(0.000000,30.6,84.9
11:45:01,AWAKE,(0.000000,30.5,85.0
11:45:02,AWAKE,(0.000000,30.5,85.0
11:45:03,AWAKE,(0.000000,30.5,85.0
11:45:04,AWAKE,(0.000000,30.5,85.2
11:45:05,AWAKE,(0.000000,30.5,85.2
11:45:06,AWAKE,(0.000000,30.5,85.2
11:45:07,AWAKE,(0.000000,30.5,85.0
11:45:08,AWAKE,(0.000000,30.5,85.0
11:45:09,AWAKE,(0.000000,30.5,85.0
11:45:10,AWAKE,(0.000000,30.5,85.0
11:45:11,AWAKE,(0.000000,30.5,85.0
18:10:59,Enter AT commands:,-,-,-
13:41:18,AWAKE,(0.000000,30.2,85.1
13:41:19,AWAKE,(0.000000,30.2,85.1
13:41:20,AWAKE,(0.000000,30.2,85.3
13:41:21,AWAKE,(0.000000,30.2,85.3
13:41:22,AWAKE,(0.000000,30.2,85.3
13:41:23,AWAKE,(0.000000,30.2,85.1
13:41:24,AWAKE,(0.000000,30.2,85.1
13:41:25,AWAKE,(0.000000,30.2,85.1
13:41:26,AWAKE,(0.000000,30.2,85.3
13:41:27,AWAKE,(0.000000,30.2,85.3
13:41:28,AWAKE,(0.000000,30.2,85.3
13:41:29,AWAKE,(0.000000,30.2,85.3
13:41:30,AWAKE,(0.000000,30.2,85.4
13:41:31,AWAKE,(0.000000,30.2,85.4
13:41:32,AWAKE,(0.000000,30.2,85.4
13:41:33,AWAKE,(0.000000,30.1,85.1
13:41:34,AWAKE,(0.000000,30.1,85.1
13:41:35,AWAKE,(0.000000,30.1,85.1
13:41:36,AWAKE,(0.000000,30.2,85.2
13:41:37,AWAKE,(0.000000,30.2,85.2
13:41:38,AWAKE,(0.000000,30.2,85.2
13:41:39,AWAKE,(0.000000,30.2,84.9
13:41:40,AWAKE,(0.000000,30.2,84.9
13:41:41,AWAKE,(0.000000,30.2,84.9
13:41:42,AWAKE,(0.000000,30.2,84.9
13:41:43,AWAKE,(0.000000,30.2,85.1
13:41:44,AWAKE,(0.000000,30.2,85.1
13:41:45,AWAKE,(0.000000,30.2,85.1
13:41:46,AWAKE,(0.000000,30.2,85.4
13:41:47,AWAKE,(0.000000,30.2,85.4
13:41:48,AWAKE,(0.000000,30.2,85.4
13:41:49,AWAKE,(0.000000,30.3,85.0
13:41:50,AWAKE,(0.000000,30.3,85.0
13:41:51,AWAKE,(0.000000,30.3,85.0
13:41:52,AWAKE,(0.000000,30.2,85.1
13:41:53,AWAKE,(0.000000,30.2,85.1
13:41:54,AWAKE,(0.000000,30.2,85.1
13:41:55,AWAKE,(0.000000,30.2,85.1
13:41:56,AWAKE,(0.000000,30.2,85.1
13:41:57,AWAKE,(0.000000,30.2,85.1
13:41:58,AWAKE,(0.000000,30.2,85.1
13:41:59,AWAKE,(0.000000,30.2,85.0
13:42:00,AWAKE,(0.000000,30.2,85.0
13:42:01,AWAKE,(0.000000,30.2,85.0
13:42:02,AWAKE,(0.000000,30.2,85.0
13:42:03,AWAKE,(0.000000,30.2,85.0
13:42:05,AWAKE,(0.000000,30.2,85.0
13:42:06,AWAKE,(0.000000,30.2,85.0
13:42:07,AWAKE,(0.000000,30.2,85.0
13:42:08,AWAKE,(0.000000,30.2,85.0
13:42:09,AWAKE,(0.000000,30.2,84.8
13:42:10,AWAKE,(0.000000,30.2,84.8
13:42:11,AWAKE,(0.000000,30.2,84.8
13:42:12,AWAKE,(0.000000,30.2,84.8
13:42:13,AWAKE,(0.000000,30.2,84.8
13:42:14,AWAKE,(0.000000,30.2,84.8
18:12:15,NO_FACE,(0.00000,-,-
